NLQ,PREDICTED SQL,GOLD SQL,DATABASE
How many singers do we have?,SELECT count(*) FROM singer,SELECT count(*) FROM singer,concert_singer
What is the total number of singers?,SELECT count(*) FROM singer,SELECT count(*) FROM singer,concert_singer
"Show name, country, age for all singers ordered by age from the oldest to the youngest.","SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT name ,  country ,  age FROM singer ORDER BY age DESC",concert_singer
"What are the names, countries, and ages for every singer in descending order of age?","SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT name ,  country ,  age FROM singer ORDER BY age DESC",concert_singer
"What is the average, minimum, and maximum age of all singers from France?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'",concert_singer
"What is the average, minimum, and maximum age for all French singers?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'",concert_singer
Show the name and the release year of the song by the youngest singer.,"SELECT Song_Name ,  Song_release_year FROM singer WHERE Age  =  (SELECT min(Age) FROM singer)","SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",concert_singer
What are the names and release years for all the songs of the youngest singer?,"SELECT Song_Name ,  Song_release_year FROM singer WHERE Age  =  (SELECT min(Age) FROM singer)","SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",concert_singer
What are all distinct countries where singers above age 20 are from?,SELECT DISTINCT Country FROM singer WHERE Age  >  20,SELECT DISTINCT country FROM singer WHERE age  >  20,concert_singer
What are  the different countries with singers above age 20?,SELECT DISTINCT Country FROM singer WHERE Age  >  20,SELECT DISTINCT country FROM singer WHERE age  >  20,concert_singer
Show all countries and the number of singers in each country.,"SELECT Country ,  count(*) FROM singer GROUP BY Country","SELECT country ,  count(*) FROM singer GROUP BY country",concert_singer
How many singers are from each country?,"SELECT Country ,  count(*) FROM singer GROUP BY Country","SELECT country ,  count(*) FROM singer GROUP BY country",concert_singer
List all song names by singers above the average age.,SELECT Song_Name FROM singer WHERE Age  >  (SELECT avg(Age) FROM singer),SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),concert_singer
What are all the song names by singers who are older than average?,SELECT Song_Name FROM singer WHERE Age  >  (SELECT avg(Age) FROM singer),SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),concert_singer
Show location and name for all stadiums with a capacity between 5000 and 10000.,"SELECT location ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",concert_singer
What are the locations and names of all stations with capacity between 5000 and 10000?,"SELECT Location ,  Name FROM stadium WHERE Capacity BETWEEN 5000 AND 10000","SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",concert_singer
What is the maximum capacity and the average of all stadiums ?,"SELECT max(capacity) ,  avg(capacity) FROM stadium","select max(capacity), average from stadium",concert_singer
What is the average and maximum capacities for all stadiums ?,"SELECT avg(capacity) ,  max(capacity) FROM stadium","select avg(capacity) ,  max(capacity) from stadium",concert_singer
What is the name and capacity for the stadium with highest average attendance?,"SELECT Name ,  Capacity FROM stadium WHERE Capacity  =  (SELECT Capacity FROM stadium WHERE Average  =  (SELECT max(Average) FROM stadium))","SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1",concert_singer
What is the name and capacity for the stadium with the highest average attendance?,"SELECT Name ,  Capacity FROM stadium WHERE Average  =  (SELECT max(Average) FROM stadium)","SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1",concert_singer
How many concerts are there in year 2014 or 2015?,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,concert_singer
How many concerts occurred in 2014 or 2015?,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,concert_singer
Show the stadium name and the number of concerts in each stadium.,"SELECT Name ,  count(*) FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID  =  T2.Stadium_ID GROUP BY T1.Stadium_ID","SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id",concert_singer
"For each stadium, how many concerts play there?","SELECT count(*) ,  stadium_id FROM singer_in_concert GROUP BY stadium_id","SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id",concert_singer
Show the stadium name and capacity with most number of concerts in year 2014 or after.,"SELECT T1.name ,  T1.capacity FROM stadium AS T1 JOIN concert AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T2.year  >=  2014 GROUP BY T1.stadium_id ORDER BY count(*) DESC LIMIT 1","SELECT T2.name ,  T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  >=  2014 GROUP BY T2.stadium_id ORDER BY count(*) DESC LIMIT 1",concert_singer
What is the name and capacity of the stadium with the most concerts after 2013 ?,"SELECT name ,  capacity FROM stadium WHERE stadium_id IN (SELECT stadium_id FROM concert WHERE year  >  2013 GROUP BY stadium_id ORDER BY count(*) DESC LIMIT 1)","select t2.name ,  t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  >  2013 group by t2.stadium_id order by count(*) desc limit 1",concert_singer
Which year has most number of concerts?,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,concert_singer
What is the year that had the most concerts?,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,concert_singer
Show the stadium names without any concert.,SELECT Name FROM stadium WHERE Stadium_ID NOT IN (SELECT Stadium_ID FROM concert),SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),concert_singer
What are the names of the stadiums without any concerts?,SELECT Name FROM stadium WHERE Stadium_ID NOT IN (SELECT Stadium_ID FROM concert),SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),concert_singer
Show countries where a singer above age 40 and a singer below 30 are from.,SELECT DISTINCT Country FROM singer WHERE Age  >  40 OR Age  <  30,SELECT country FROM singer WHERE age  >  40 INTERSECT SELECT country FROM singer WHERE age  <  30,concert_singer
Show names for all stadiums except for stadiums having a concert in year 2014.,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert WHERE YEAR  =  2014),SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,concert_singer
What are the names of all stadiums that did not have a concert in 2014?,SELECT Name FROM stadium WHERE Stadium_ID NOT IN (SELECT Stadium_ID FROM concert WHERE YEAR  =  2014),SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,concert_singer
Show the name and theme for all concerts and the number of singers in each concert.,"SELECT concert_Name ,  Theme ,  count(*) FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.concert_ID  =  T2.concert_ID GROUP BY T1.concert_ID","SELECT T2.concert_name ,  T2.theme ,  count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T2.concert_id",concert_singer
"What are the names , themes , and number of singers for every concert ?","SELECT concert_Name ,  Theme ,  count(*) FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.concert_ID  =  T2.concert_ID GROUP BY T1.concert_ID","select t2.concert_name ,  t2.theme ,  count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id  =  t2.concert_id group by t2.concert_id",concert_singer
List singer names and number of concerts for each singer.,"SELECT T1.Name ,  count(*) FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID  =  T2.Singer_ID GROUP BY T1.Name","SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id",concert_singer
What are the names of the singers and number of concerts for each person?,"SELECT T1.Name ,  count(*) FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID  =  T2.Singer_ID GROUP BY T1.Name","SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id",concert_singer
List all singer names in concerts in year 2014.,SELECT name FROM singer WHERE singer_id IN (SELECT singer_id FROM singer_in_concert WHERE concert_id IN (SELECT concert_id FROM concert WHERE year  =  2014)),SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,concert_singer
What are the names of the singers who performed in a concert in 2014?,SELECT name FROM singer WHERE singer_id IN (SELECT singer_id FROM singer_in_concert WHERE concert_id IN (SELECT concert_id FROM concert WHERE year  =  2014)),SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,concert_singer
what is the name and nation of the singer who have a song having 'Hey' in its name?,"SELECT name ,  country FROM singer WHERE singer_id IN (SELECT singer_id FROM singer_in_concert WHERE concert_id IN (SELECT concert_id FROM concert WHERE concert_name LIKE '%Hey%'))","SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'",concert_singer
What is the name and country of origin of every singer who has a song with the word 'Hey' in its title?,"SELECT name ,  country FROM singer WHERE singer_id IN (SELECT singer_id FROM singer_in_concert WHERE concert_id IN (SELECT concert_id FROM concert WHERE concert_name LIKE '%Hey%'))","SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'",concert_singer
Find the name and location of the stadiums which some concerts happened in the years of both 2014 and 2015.,"SELECT Name ,  Location FROM stadium WHERE Stadium_ID IN (SELECT Stadium_ID FROM concert WHERE YEAR  =  2014) AND Stadium_ID IN (SELECT Stadium_ID FROM concert WHERE YEAR  =  2015)","SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015",concert_singer
What are the names and locations of the stadiums that had concerts that occurred in both 2014 and 2015?,"SELECT Name ,  Location FROM stadium WHERE Stadium_ID IN (SELECT Stadium_ID FROM concert WHERE YEAR  =  2014) AND Stadium_ID IN (SELECT Stadium_ID FROM concert WHERE YEAR  =  2015)","SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015",concert_singer
Find the number of concerts happened in the stadium with the highest capacity .,SELECT count(*) FROM concert WHERE Stadium_ID  =  (SELECT Stadium_ID FROM stadium WHERE Capacity  =  (SELECT max(Capacity) FROM stadium)),select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),concert_singer
What are the number of concerts that occurred in the stadium with the largest capacity ?,SELECT count(*) FROM concert WHERE Stadium_ID  =  (SELECT Stadium_ID FROM stadium WHERE Capacity  =  (SELECT max(Capacity) FROM stadium)),select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),concert_singer
Find the number of pets whose weight is heavier than 10.,SELECT count(*) FROM Pets WHERE weight  >  10,SELECT count(*) FROM pets WHERE weight  >  10,pets_1
How many pets have a greater weight than 10?,SELECT count(*) FROM pets WHERE weight  >  10,SELECT count(*) FROM pets WHERE weight  >  10,pets_1
Find the weight of the youngest dog.,SELECT weight FROM Pets WHERE pet_age  =  (SELECT min(pet_age) FROM Pets WHERE PetType  =  'Dog'),SELECT weight FROM pets ORDER BY pet_age LIMIT 1,pets_1
How much does the youngest dog weigh?,SELECT weight FROM Pets WHERE pet_age  =  (SELECT min(pet_age) FROM Pets),SELECT weight FROM pets ORDER BY pet_age LIMIT 1,pets_1
Find the maximum weight for each type of pet. List the maximum weight and pet type.,"SELECT max(weight) ,  PetType FROM Pets GROUP BY PetType","SELECT max(weight) ,  petType FROM pets GROUP BY petType",pets_1
List the maximum weight and type for each type of pet.,"SELECT max(weight) ,  PetType FROM Pets GROUP BY PetType","SELECT max(weight) ,  petType FROM pets GROUP BY petType",pets_1
Find number of pets owned by students who are older than 20.,SELECT count(*) FROM Has_Pet WHERE StuID IN (SELECT StuID FROM Student WHERE Age  >  20),SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.age  >  20,pets_1
How many pets are owned by students that have an age greater than 20?,SELECT count(*) FROM Has_Pet WHERE StuID IN (SELECT StuID FROM Student WHERE Age  >  20),SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.age  >  20,pets_1
Find the number of dog pets that are raised by female students (with sex F).,SELECT count(*) FROM Has_Pet AS T1 JOIN Student AS T2 ON T1.StuID  =  T2.StuID JOIN Pets AS T3 ON T1.PetID  =  T3.PetID WHERE T3.PetType  =  'Dog' AND T2.Sex  =  'F',SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T2.petid  =  T3.petid WHERE T1.sex  =  'F' AND T3.pettype  =  'dog',pets_1
How many dog pets are raised by female students?,SELECT count(*) FROM Pets AS T1 JOIN Has_Pet AS T2 ON T1.PetID  =  T2.PetID JOIN Student AS T3 ON T2.StuID  =  T3.StuID WHERE T1.PetType  =  'Dog' AND T3.Sex  =  'F',SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T2.petid  =  T3.petid WHERE T1.sex  =  'F' AND T3.pettype  =  'dog',pets_1
Find the number of distinct type of pets.,SELECT count(DISTINCT PetType) FROM Pets,SELECT count(DISTINCT pettype) FROM pets,pets_1
How many different types of pet are there?,SELECT count(DISTINCT PetType) FROM Pets,SELECT count(DISTINCT pettype) FROM pets,pets_1
Find the first name of students who have cat or dog pet.,SELECT Fname FROM Student WHERE StuID IN (SELECT StuID FROM Has_Pet WHERE PetID IN (SELECT PetID FROM Pets WHERE PetType  =  'cat' OR PetType  =  'dog')),SELECT DISTINCT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' OR T3.pettype  =  'dog',pets_1
