NLQ,PREDICTED SQL,GOLD SQL,DATABASE
How many singers do we have?,SELECT COUNT(Singer_ID) FROM singer;,SELECT count(*) FROM singer,concert_singer
What is the total number of singers?,SELECT COUNT(*)  FROM singer;,SELECT count(*) FROM singer,concert_singer
"Show name, country, age for all singers ordered by age from the oldest to the youngest.","SELECT Name, Country, Age FROM singer ORDER BY Age DESC;","SELECT name ,  country ,  age FROM singer ORDER BY age DESC",concert_singer
"What are the names, countries, and ages for every singer in descending order of age?","SELECT Name, Country, Age FROM singer ORDER BY Age DESC;","SELECT name ,  country ,  age FROM singer ORDER BY age DESC",concert_singer
"What is the average, minimum, and maximum age of all singers from France?","SELECT AVG(Age) AS Average_Age, MIN(Age) AS Minimum_Age, MAX(Age) AS Maximum_Age FROM singer WHERE Country = 'France';","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'",concert_singer
"What is the average, minimum, and maximum age for all French singers?","SELECT AVG(Age) AS Average_Age, MIN(Age) AS Minimum_Age, MAX(Age) AS Maximum_Age FROM singer WHERE Country = 'France';","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'",concert_singer
Show the name and the release year of the song by the youngest singer.,"SELECT Name, Song_release_year FROM singer WHERE Age = (SELECT MIN(Age) FROM singer);","SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",concert_singer
What are the names and release years for all the songs of the youngest singer?,"SELECT s.Name, s.Song_Name, s.Song_release_year FROM singer s WHERE s.Age = (     SELECT MIN(Age)     FROM singer )","SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",concert_singer
What are all distinct countries where singers above age 20 are from?,SELECT DISTINCT Country FROM     singer WHERE     Age > 20;,SELECT DISTINCT country FROM singer WHERE age  >  20,concert_singer
What are  the different countries with singers above age 20?,SELECT DISTINCT Country FROM     singer WHERE     Age > 20;,SELECT DISTINCT country FROM singer WHERE age  >  20,concert_singer
Show all countries and the number of singers in each country.,"SELECT Country, COUNT(Singer_ID) as NumberOfSingers FROM singer GROUP BY Country;","SELECT country ,  count(*) FROM singer GROUP BY country",concert_singer
How many singers are from each country?,"SELECT Country, COUNT(Singer_ID) as NumberOfSingers FROM singer GROUP BY Country;","SELECT country ,  count(*) FROM singer GROUP BY country",concert_singer
List all song names by singers above the average age.,"SELECT s.Name, s.Song_Name FROM singer s WHERE s.Age > (SELECT AVG(Age) FROM singer);",SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),concert_singer
What are all the song names by singers who are older than average?,SELECT s.Song_Name FROM singer s WHERE s.Age > (SELECT AVG(Age) FROM singer);,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),concert_singer
Show location and name for all stadiums with a capacity between 5000 and 10000.,"SELECT Location, Name FROM stadium WHERE Capacity BETWEEN 5000 AND 10000;","SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",concert_singer
